contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250508C05675000,2025-04-17 13:34:42+00:00,5675.0,8.7,8.7,9.2,-3.6999998,-29.838709,2.0,62.0,0.1969761089324951,False,REGULAR,USD
SPXW250508C05700000,2025-04-17 14:21:49+00:00,5700.0,7.1,6.7,7.2,-1.5999999,-18.390802,1.0,122.0,0.1951374432373047,False,REGULAR,USD
SPXW250508C05725000,2025-04-17 13:33:07+00:00,5725.0,6.2,5.2,5.6,-1.1700001,-15.875171,15.0,59.0,0.1935505450439453,False,REGULAR,USD
SPXW250508C05750000,2025-04-17 13:33:07+00:00,5750.0,4.6,4.1,4.4,-1.2200003,-20.962204,34.0,104.0,0.19275709594726562,False,REGULAR,USD
SPXW250508C05775000,2025-04-16 18:34:18+00:00,5775.0,4.65,3.2,3.6,0.0,0.0,4.0,202.0,0.19367261413574222,False,REGULAR,USD
SPXW250508C05800000,2025-04-16 18:34:18+00:00,5800.0,3.7,2.55,2.8,0.0,0.0,11.0,153.0,0.19301649276733396,False,REGULAR,USD
SPXW250508C05825000,2025-04-16 13:38:31+00:00,5825.0,4.4,2.05,2.35,0.0,0.0,1.0,75.0,0.19493908096313478,False,REGULAR,USD
SPXW250508C05850000,2025-04-16 18:31:45+00:00,5850.0,2.37,1.65,1.9,0.0,0.0,3.0,81.0,0.19574778869628906,False,REGULAR,USD
SPXW250508C05900000,2025-04-15 18:57:42+00:00,5900.0,2.67,1.1,1.4,0.0,0.0,9.0,208.0,0.20081365600585935,False,REGULAR,USD
SPXW250508C06000000,2025-04-15 03:01:16+00:00,6000.0,1.6,0.55,0.85,0.0,0.0,3.0,97.0,0.21314263427734376,False,REGULAR,USD
SPXW250508C06100000,2025-04-11 18:28:03+00:00,6100.0,1.85,0.3,0.6,0.0,0.0,6.0,110.0,0.22815713256835937,False,REGULAR,USD
SPXW250508C06200000,2025-04-16 19:41:30+00:00,6200.0,0.45,0.2,0.45,0.0,0.0,1.0,53.0,0.24341576904296874,False,REGULAR,USD
SPXW250508C06300000,2025-04-11 14:45:44+00:00,6300.0,0.67,0.1,0.4,0.0,0.0,1.0,15.0,0.26197027099609377,False,REGULAR,USD
SPXW250508C06400000,2025-04-04 16:22:46+00:00,6400.0,0.55,0.1,0.35,0.0,0.0,12.0,17.0,0.27930408203124996,False,REGULAR,USD
SPXW250508C06800000,2025-04-01 19:43:32+00:00,6800.0,0.15,0.0,0.2,0.0,0.0,7.0,10.0,0.34058276611328125,False,REGULAR,USD
SPXW250508C07000000,2025-03-27 17:54:01+00:00,7000.0,0.12,0.0,0.2,0.0,0.0,,7.0,0.375982802734375,False,REGULAR,USD
SPXW250508C07200000,2025-04-16 16:24:54+00:00,7200.0,0.05,0.0,0.2,0.0,0.0,1.0,2.0,0.4101621484375,False,REGULAR,USD
SPXW250508C07400000,2025-04-02 17:19:57+00:00,7400.0,0.1,0.0,0.15,0.0,0.0,1.0,0.0,0.432622861328125,False,REGULAR,USD
