contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250508P05575000,2025-04-09 15:24:59+00:00,5575.0,572.57,313.4,321.0,0.0,0.0,2.0,33.0,0.2639157471466065,True,REGULAR,USD
SPXW250508P05600000,2025-04-15 18:15:40+00:00,5600.0,239.6,334.5,341.3,0.0,0.0,3.0,125.0,0.26446124340057364,True,REGULAR,USD
SPXW250508P05650000,2025-04-14 01:41:47+00:00,5650.0,304.72,375.0,381.6,0.0,0.0,1.0,10.0,0.2606732868957519,True,REGULAR,USD
SPXW250508P05675000,2025-04-14 01:41:47+00:00,5675.0,321.27,396.3,403.5,0.0,0.0,1.0,22.0,0.26211522804260257,True,REGULAR,USD
SPXW250508P05700000,2025-04-17 14:21:49+00:00,5700.0,416.42,421.9,428.7,266.42,177.61334,1.0,22.0,0.2738567488098144,True,REGULAR,USD
SPXW250508P05725000,2025-04-14 14:30:30+00:00,5725.0,303.32,444.0,450.8,0.0,0.0,1.0,53.0,0.2745586460876465,True,REGULAR,USD
SPXW250508P05750000,2025-04-14 14:30:30+00:00,5750.0,322.47,460.1,478.5,0.0,0.0,1.0,17.0,0.29480685668945306,True,REGULAR,USD
SPXW250508P05775000,2025-04-14 19:49:10+00:00,5775.0,347.08,492.6,499.6,0.0,0.0,1.0,2.0,0.2909311630249023,True,REGULAR,USD
SPXW250508P05800000,2025-04-16 15:58:44+00:00,5800.0,454.35,515.5,525.2,0.0,0.0,2.0,37.0,0.3034203569793701,True,REGULAR,USD
SPXW250508P05825000,2025-04-09 14:51:28+00:00,5825.0,835.01,537.4,547.4,0.0,0.0,1.0,47.0,0.3021386315155029,True,REGULAR,USD
SPXW250508P05850000,2025-04-16 16:42:02+00:00,5850.0,511.81,563.3,573.3,0.0,0.0,1.0,1.0,0.3156577834320068,True,REGULAR,USD
SPXW250508P05900000,2025-04-16 16:42:02+00:00,5900.0,560.38,612.4,622.4,0.0,0.0,1.0,4.0,0.33099271308898925,True,REGULAR,USD
SPXW250508P06000000,2025-04-03 16:26:22+00:00,6000.0,514.7,711.7,722.2,0.0,0.0,1.0,2.0,0.3670412417602539,True,REGULAR,USD
SPXW250508P06100000,2025-03-28 18:22:54+00:00,6100.0,491.95,811.0,821.1,0.0,0.0,1.0,1.0,0.39693291061401365,True,REGULAR,USD
SPXW250508P07000000,2025-04-07 15:16:37+00:00,7000.0,1997.4,1704.6,1722.3,0.0,0.0,,1.0,0.6049386430358887,True,REGULAR,USD
SPXW250508P07400000,2025-04-01 19:43:32+00:00,7400.0,1749.51,2103.8,2121.4,0.0,0.0,7.0,17.0,0.6912262322998048,True,REGULAR,USD
